-12.06,1157,4635,3611
-332.95,1117,4949,3017
544.47,2968,2260,3290
198.45,1645,3740,1588
389.40,2044,2007,3581
717.56,2424,2974,1411
653.45,924,1526,4474
-150.99,1388,2001,3389
797.86,2520,3018,2810
122.22,434,3576,3129
13.88,2883,1837,2490
-1171.99,602,4918,3879
1594.23,2880,4997,3315
1600.49,771,2046,1631
1204.10,817,1343,2207
1044.59,175,1281,4582
1604.03,621,1026,4515
1167.61,711,1274,2450
140.31,1450,2005,1743
176.07,1737,4044,2338
416.51,2201,2514,2883
-720.63,207,3559,4683
1425.63,2837,3765,3230
-247.53,678,1688,2642
-633.42,2162,4549,2258
810.39,1788,3828,4762
-494.06,1557,1516,3089
1254.63,2896,2509,3658
287.09,312,1452,4025
1474.29,984,4374,2913
-540.13,1273,1372,1750
1492.38,2399,2949,4250
926.70,324,2357,2425
-400.38,1215,3377,1557
-105.17,1303,4921,3873
730.96,2066,3195,3305
-295.46,2669,1335,1536
474.06,1640,4140,3716
810.06,2794,1334,2082
-125.88,1406,1758,3124
1022.09,1912,2191,4604
1163.05,490,2702,3202
1037.37,688,1816,3284
189.60,1216,2901,1683
-631.92,1996,1847,3846
815.13,2044,3246,4865
-248.88,1372,3317,1670
-763.67,2824,1671,3860
729.43,1886,4835,4009
640.05,977,1837,4046
-968.83,1255,4004,1738
-483.12,2974,2911,4549
-604.40,2833,4775,1558
534.70,2328,3728,3818
-557.77,1534,1271,4187
1303.60,2219,2599,4957
175.99,1472,1466,1817
-443.50,1247,3707,3421
-1077.25,2563,2681,3930
-110.86,2449,4770,4012
-338.36,2292,3251,2869
1572.30,2438,2153,4345
167.76,332,1017,3461
-78.55,2099,3554,2088
-822.46,1582,3859,3442
279.78,2913,2771,4355
414.09,1636,4365,1792
1050.25,1959,2621,2498
-931.67,680,4453,1099
1059.83,2369,3854,4600
1483.25,394,1870,4059
549.28,345,1783,2967
35.87,2499,1496,2223
161.55,2524,1956,3267
-1030.81,1939,4175,1792
