H1,H2,PFR1,PFR2
850,210,3500,4250
850,210,3250,4500
850,210,3000,4750
850,210,2750,5000
1050,210,4500,2000
1050,210,4750,1750
1050,210,5000,1500
1100,210,2500,3750
1100,210,2750,3500
1100,210,3000,3250
1100,210,3250,3000
1100,210,3500,2750
1100,210,3750,2500
1150,210,1750,4250
1150,210,1500,4500
1150,210,1250,4750
1200,210,3500,2250
1200,210,3750,2000
1200,210,4750,1000
1350,210,1250,4000
1350,210,1750,3500
1350,210,2000,3250
1350,210,2250,3000
1350,210,2500,2750
1350,210,1250,4000
1350,210,1000,4250
1500,210,2250,2500
1500,210,2500,2250
1500,210,2750,2000
1500,210,3000,1750
1500,210,3250,1500
1700,210,3250,1000
1950,210,1000,2750
1950,210,1250,2500
1950,210,1500,2250
1950,210,1750,2000
1950,210,2000,1750
1950,210,2250,1500
1950,210,2500,1250
1000,215,5000,1750
1100,215,2250,4000
1100,215,2250,4000
1100,215,2000,4250
1150,215,1000,5000
1200,215,1750,4000
1200,215,2000,3750
1200,215,2250,3500
1200,215,2500,3250
1200,215,2750,3000
1200,215,3000,2750
1200,215,3250,2500
1200,215,4000,1750
1200,215,4250,1500
1200,215,4500,1250
1200,215,1750,4000
1200,215,1500,4250
1200,215,1250,4500
1200,215,1000,4750
1500,215,1000,3750
1500,215,1250,3500
1500,215,1500,3250
1500,215,1750,3000
1500,215,2000,2750
1700,215,1000,3250
1700,215,1250,3000
1700,215,1500,2750
1700,215,1750,2500
1700,215,2000,2250
1700,215,2250,2000
1700,215,2500,1750
1700,215,2750,1500
1700,215,3000,1250
1050,220,2500,4000
1050,220,2750,3750
1050,220,3000,3500
1050,220,3250,3250
1050,220,3500,3000
1050,220,3750,2750
1050,220,4000,2500
1050,220,4250,2250
1050,220,2500,4000
1100,220,1750,4500
2100,220,1000,2500
2100,220,1250,2250
2100,220,1500,2000
2100,220,1750,1750
2100,220,2000,1500
2100,220,2250,1250
2100,220,2500,1000
1000,225,2750,4000
1000,225,3000,3750
1000,225,3250,3500
1000,225,3500,3250
1000,225,4000,2750
1000,225,4250,2500
1000,225,4500,2250
1000,225,4750,2000
1000,225,2750,4000
1050,225,2250,4250
1050,225,2000,4500
1050,225,1750,4750
1250,225,1500,4000
1250,225,3250,2250
1250,225,3500,2000
1250,225,1500,4000
1250,225,1250,4250
950,230,3000,4000
950,230,3250,3750
950,230,3500,3500
950,230,4750,2250
950,230,5000,2000
950,230,3000,4000
950,230,2750,4250
950,230,2500,4500
1000,230,3750,3000
1000,230,2500,4250
1000,230,2250,4500
1000,230,2000,4750
1000,230,1750,5000
1250,230,1750,3750
1250,230,2000,3500
1250,230,2250,3250
1250,230,2500,3000
1250,230,2750,2750
1250,230,3000,2500
1250,230,3750,1750
1250,230,4000,1500
1250,230,4250,1250
1250,230,4500,1000
1250,230,1000,4500
950,235,3750,3250
950,235,4000,3000
950,235,4250,2750
950,235,4500,2500
950,235,2250,4750
950,235,2000,5000
1400,235,2000,3000
1400,235,2250,2750
1400,235,2500,2500
1400,235,3250,1750
1400,235,3500,1500
1400,235,3750,1250
1400,235,4000,1000
1800,235,2500,1500
1800,235,2750,1250
1800,235,3000,1000
1400,240,1000,4000
1400,240,1250,3750
1400,240,1500,3500
1400,240,1750,3250
1400,240,2750,2250
1400,240,3000,2000
1400,240,1000,4000
1800,240,1000,3000
1800,240,1250,2750
1800,240,1500,2500
1800,240,1750,2250
1800,240,2000,2000
1800,240,2250,1750
3000,240,1000,1500
3000,240,1250,1250
3000,240,1500,1000
1300,245,3500,1750
2700,245,1750,1000
1300,250,1500,3750
1300,250,1750,3500
1300,250,2750,2500
1300,250,3000,2250
1300,250,3250,2000
1300,250,3750,1500
1300,250,4000,1250
1300,250,4250,1000
1300,250,1000,4250
2250,250,1000,2250
2250,250,1250,2000
2250,250,1500,1750
2250,250,1750,1500
2250,250,2000,1250
2250,250,2250,1000
2700,250,1000,1750
2700,250,1250,1500
2700,250,1500,1250
1300,255,2000,3250
1300,255,2250,3000
1300,255,2500,2750
1650,255,3250,1000
2450,255,1500,1500
2450,255,1750,1250
2450,255,2000,1000
1550,260,2250,2250
1550,260,3250,1250
1550,260,3500,1000
1650,260,3000,1250
2450,260,1000,2000
2450,260,1250,1750
1550,265,1750,2750
1550,265,2000,2500
1650,265,1500,2750
1650,265,1750,2500
1650,265,2000,2250
1650,265,2250,2000
1650,265,2500,1750
1650,265,2750,1500
1450,270,2500,2250
1450,270,3500,1250
1450,270,3750,1000
1550,270,2500,2000
1550,270,2750,1750
1550,270,3000,1500
1900,270,2500,1250
1450,275,1000,3750
1450,275,1250,3500
1450,275,1500,3250
1450,275,1750,3000
1450,275,2000,2750
1450,275,2250,2500
1450,275,2750,2000
1450,275,3000,1750
1450,275,3250,1500
1550,275,1000,3500
1550,275,1250,3250
1550,275,1500,3000
1650,275,1000,3250
1650,275,1250,3000
1750,275,1000,3000
1750,275,1250,2750
1750,275,1500,2500
1750,275,1750,2250
1750,275,2000,2000
1750,275,2250,1750
1750,275,2500,1500
1750,275,2750,1250
1750,275,3000,1000
1900,275,1000,2750
1900,275,1250,2500
1900,275,1500,2250
1900,275,1750,2000
1900,275,2000,1750
1900,275,2250,1500
1900,275,2750,1000
2050,275,1750,1750
2050,275,2250,1250
2050,275,2500,1000
2050,280,1000,2500
2050,280,1250,2250
2050,280,1500,2000
2050,280,2000,1500
2200,285,2250,1000
2200,290,2000,1250
2200,295,1250,2000
2200,295,1500,1750
2950,295,1500,1000
600,300,5000,4750
600,300,4750,5000
600,300,5000,5000
650,300,5000,4250
650,300,4750,4500
650,300,5000,4500
650,300,4500,4750
650,300,4750,4750
650,300,5000,4750
650,300,4250,5000
650,300,4500,5000
650,300,4750,5000
700,300,5000,3750
700,300,4750,4000
700,300,5000,4000
700,300,4500,4250
700,300,4750,4250
700,300,4250,4500
700,300,4500,4500
700,300,4000,4750
700,300,4250,4750
700,300,3750,5000
700,300,4000,5000
750,300,4500,3750
750,300,4750,3500
750,300,4750,3750
750,300,5000,3250
750,300,5000,3500
750,300,4250,4000
750,300,4500,4000
750,300,4000,4250
750,300,4250,4250
750,300,3750,4500
750,300,4000,4500
750,300,3500,4750
750,300,3750,4750
750,300,3250,5000
750,300,3500,5000
800,300,4000,3750
800,300,4250,3500
800,300,4250,3750
800,300,4500,3250
800,300,4500,3500
800,300,4750,3000
800,300,4750,3250
800,300,5000,2750
800,300,5000,3000
800,300,3750,4000
800,300,4000,4000
800,300,3500,4250
800,300,3750,4250
800,300,3250,4500
800,300,3500,4500
800,300,3000,4750
800,300,3250,4750
800,300,2750,5000
800,300,3000,5000
850,300,3250,4000
850,300,3500,3750
850,300,3750,3500
850,300,3750,3750
850,300,4000,3250
850,300,4000,3500
850,300,4250,3000
850,300,4250,3250
850,300,4500,2750
850,300,4500,3000
850,300,4750,2500
850,300,4750,2750
850,300,5000,2250
850,300,5000,2500
850,300,3250,4000
850,300,3500,4000
850,300,3000,4250
850,300,3250,4250
850,300,2750,4500
850,300,3000,4500
850,300,2500,4750
850,300,2750,4750
850,300,2250,5000
850,300,2500,5000
900,300,3000,4000
900,300,3250,3750
900,300,3250,4000
900,300,3500,3500
900,300,3500,3750
900,300,3750,3250
900,300,3750,3500
900,300,4000,3000
900,300,4000,3250
900,300,4250,2750
900,300,4250,3000
900,300,4500,2500
900,300,4500,2750
900,300,4750,2250
900,300,4750,2500
900,300,5000,2000
900,300,5000,2250
900,300,3000,4000
900,300,3250,4000
900,300,2750,4250
900,300,3000,4250
900,300,2500,4500
900,300,2750,4500
900,300,2250,4750
900,300,2500,4750
900,300,2000,5000
900,300,2250,5000
950,300,2750,4000
950,300,3000,3750
950,300,3250,3500
950,300,3500,3250
950,300,3750,3000
950,300,4000,2750
950,300,4250,2500
950,300,4500,2250
950,300,4750,2000
950,300,5000,1750
950,300,2750,4000
950,300,2500,4250
950,300,2250,4500
950,300,2000,4750
950,300,1750,5000
1000,300,2500,4000
1000,300,2750,3750
1000,300,3000,3500
1000,300,3250,3250
1000,300,3500,3000
1000,300,3750,2750
1000,300,4000,2500
1000,300,4250,2250
1000,300,4500,2000
1000,300,4750,1750
1000,300,5000,1500
1000,300,2500,4000
1000,300,2250,4250
1000,300,2000,4500
1000,300,1750,4750
1000,300,1500,5000
1050,300,2250,4000
1050,300,2500,3750
1050,300,2750,3500
1050,300,3000,3250
1050,300,3250,3000
1050,300,3500,2750
1050,300,3750,2500
1050,300,4000,2250
1050,300,4250,2000
1050,300,4500,1750
1050,300,4750,1500
1050,300,5000,1250
1050,300,2250,4000
1050,300,2000,4250
1050,300,1750,4500
1050,300,1500,4750
1050,300,1250,5000
1100,300,2000,4000
1100,300,2250,3750
1100,300,2500,3500
1100,300,2750,3250
1100,300,3000,3000
1100,300,3250,2750
1100,300,3500,2500
1100,300,3750,2250
1100,300,4000,2000
1100,300,4250,1750
1100,300,4500,1500
1100,300,4750,1250
1100,300,5000,1000
1100,300,2000,4000
1100,300,1750,4250
1100,300,1500,4500
1100,300,1250,4750
1100,300,1000,5000
1150,300,1750,4000
1150,300,2000,3750
1150,300,2250,3500
1150,300,2500,3250
1150,300,2750,3000
1150,300,3000,2750
1150,300,3250,2500
1150,300,3500,2250
1150,300,3750,2000
1150,300,4000,1750
1150,300,4250,1500
1150,300,4500,1250
1150,300,4750,1000
1150,300,1750,4000
1150,300,1500,4250
1150,300,1250,4500
1150,300,1000,4750
1200,300,2750,2750
1200,300,3250,2250
1200,300,3500,2000
1200,300,3750,1750
1200,300,4000,1500
1200,300,4250,1250
1200,300,4500,1000
1200,300,1250,4750
1350,300,1000,4000
1350,300,1250,3750
1350,300,1500,3500
1350,300,1750,3250
1350,300,2000,3000
1350,300,2250,2750
1350,300,2500,2500
1350,300,2750,2250
1350,300,3000,2000
1350,300,3250,1750
1350,300,3500,1500
1350,300,3750,1250
1350,300,4000,1000
1350,300,1000,4000
2200,300,1750,1500
2650,300,1500,1250
2650,300,1750,1000
2950,300,1000,1500
2950,300,1250,1250
1200,305,1750,3750
1200,305,2000,3500
1200,305,2250,3250
1200,305,2500,3000
1200,305,3000,2500
1200,305,1000,4500
1250,305,3250,2000
2200,305,1000,2250
2400,305,1000,2000
2400,305,1250,1750
2400,305,1500,1500
2400,305,1750,1250
2400,305,2000,1000
2650,305,1000,1750
2650,305,1250,1500
750,310,4500,3500
750,310,4750,3250
750,310,5000,3000
800,310,5000,2500
1200,310,1500,4000
1200,310,1500,4000
1250,310,2750,2500
1850,310,1250,2500
1850,310,1750,2000
1850,310,2500,1250
700,315,4750,3750
700,315,5000,3500
700,315,4500,4000
700,315,4250,4250
700,315,4000,4500
750,315,4250,3750
750,315,4000,4000
750,315,3750,4250
800,315,3750,3750
800,315,4000,3500
800,315,4250,3250
800,315,4500,3000
800,315,4750,2750
1250,315,3500,1750
1250,315,4000,1250
1250,315,4250,1000
1400,315,1750,3000
1400,315,2000,2750
1400,315,3250,1500
1400,315,3750,1000
1850,315,1000,2750
1850,315,1500,2250
1850,315,2000,1750
1850,315,2250,1500
1850,315,2750,1000
650,320,5000,4000
650,320,4750,4250
650,320,4500,4500
650,320,4250,4750
650,320,4000,5000
700,320,3750,4750
700,320,3500,5000
750,320,3500,4500
750,320,3250,4750
750,320,3000,5000
800,320,3500,4000
800,320,3250,4250
900,320,4750,2000
900,320,5000,1750
1150,320,1250,5000
1250,320,1250,4000
1250,320,2000,3250
1250,320,2250,3000
1250,320,2500,2750
1250,320,3000,2250
1250,320,3750,1500
1250,320,1250,4000
1400,320,1000,3750
1400,320,1500,3250
1400,320,2250,2500
1400,320,2500,2250
1400,320,2750,2000
1400,320,3000,1750
1400,320,3500,1250
1500,320,2500,2000
1500,320,2750,1750
1500,320,3000,1500
1500,320,3250,1250
1500,320,3500,1000
800,325,3000,4500
800,325,2750,4750
800,325,2500,5000
850,325,3500,3500
850,325,3750,3250
850,325,4000,3000
850,325,4250,2750
850,325,4500,2500
850,325,4750,2250
850,325,5000,2000
900,325,2750,4000
900,325,3000,3750
900,325,3250,3500
900,325,3500,3250
900,325,3750,3000
900,325,4000,2750
900,325,4250,2500
900,325,4500,2250
900,325,2750,4000
900,325,2500,4250
900,325,2250,4500
900,325,2000,4750
900,325,1750,5000
950,325,4250,2250
950,325,4500,2000
950,325,4750,1750
950,325,5000,1500
1250,325,1500,3750
1250,325,1750,3500
1500,325,1000,3500
1500,325,1250,3250
1500,325,1500,3000
1500,325,1750,2750
1500,325,2000,2500
1500,325,2250,2250
1600,325,3250,1000
600,330,5000,4500
600,330,4750,4750
600,330,4500,5000
850,330,3000,4000
850,330,3250,3750
850,330,3000,4000
950,330,2500,4000
950,330,2750,3750
950,330,3000,3500
950,330,3250,3250
950,330,3500,3000
950,330,3750,2750
950,330,4000,2500
950,330,2500,4000
950,330,2250,4250
950,330,2000,4500
950,330,1750,4750
950,330,1500,5000
1000,330,4250,2000
1000,330,4500,1750
1000,330,4750,1500
1000,330,5000,1250
1250,330,1000,4250
1600,330,3000,1250
2000,330,1000,2500
2000,330,1250,2250
2000,330,1500,2000
2000,330,1750,1750
2000,330,2000,1500
2000,330,2250,1250
2000,330,2500,1000
850,335,2750,4250
850,335,2500,4500
1000,335,2250,4000
1000,335,2500,3750
1000,335,2750,3500
1000,335,3000,3250
1000,335,3250,3000
1000,335,3500,2750
1000,335,3750,2500
1000,335,4000,2250
1000,335,2250,4000
1000,335,2000,4250
1000,335,1750,4500
1000,335,1500,4750
1000,335,1250,5000
1300,335,2500,2500
1300,335,4000,1000
1600,335,1250,3000
1600,335,1500,2750
1600,335,1750,2500
1600,335,2000,2250
1600,335,2250,2000
1600,335,2500,1750
1600,335,2750,1500
2900,335,1250,1250
550,340,5000,5000
850,340,2250,4750
850,340,2000,5000
1050,340,4000,2000
1050,340,4250,1750
1050,340,4500,1500
1050,340,4750,1250
1050,340,5000,1000
1250,340,1500,4250
1250,340,1250,4500
1300,340,2250,2750
1300,340,3250,1750
